id,created_at,text
1336437418648539137,2020-12-08 22:28:05,"Ook op een ander systeem, met andere temperatuurs-instellingen als het Charité-protocol, maar met dezelfde primer-… https://t.co/fze1HuR1Ka"
1336436490826625025,2020-12-08 22:24:23,"""They all showed comparable results in reduction of unspecific E gene signals. Using SuperScript III, the unspecifi… https://t.co/OZ33V0wx5V"
1336435822325796865,2020-12-08 22:21:44,"Nu ben ik toch werkelijk heel nieuwsgierig hoeveel samples van mensen die getest zijn, waarbij alleen op het E-gen… https://t.co/qzvxUJ3O74"
1336435200792944653,2020-12-08 22:19:16,"Hier ziet men de 'aspecifieke signalen"" bij hoge Ct-waarden. De eerste twee curves zijn de positieve controles, de… https://t.co/utEtmQbPHT"
1336434347973472257,2020-12-08 22:15:52,"""...and also of negative extraction and non-template con- trols (Table, Figure 2), which complicated the evaluation… https://t.co/urDMEAxH1x"
1336433368393797632,2020-12-08 22:11:59,"""We found that the SARS-CoV E gene screening assay with the QuantiTect Virus+Rox Vial kit showed moderate to high a… https://t.co/HcgyfD4SMG"
1336433215163293697,2020-12-08 22:11:22,"De resultaten, en die liegen er niet om: Dit gaat om de amplificatie van het E-gen volgens het ""Charité-protocol"" o… https://t.co/SUxjRJo8XC"
1336431213188407298,2020-12-08 22:03:25,"""Primers and probes were used as described [5] and provided by TIB Molbiol (Berlin, Germany).""

Ik denk dat Christi… https://t.co/SMq8SvXQkH"
1336428930409050119,2020-12-08 21:54:21,"""We initially used the protocol based on the E gene and RdRp gene developed by the German Consiliary Laboratory for… https://t.co/EsbohNsBZM"
1336428563852120064,2020-12-08 21:52:53,"Dit artikel ging over de fouten in het ontwerp van de RdRp-primers, maar dit artikel gaat over het E-gen, dat nu al… https://t.co/GCbmf8LHC1"
1336427891467448322,2020-12-08 21:50:13,"Nota bene beschreven in een artikel door Muenchhoff et al, waar Christian Drosten als co-auteur zelf bij vermeld st… https://t.co/Db7Nqd9mYt"
1336427298891952132,2020-12-08 21:47:52,"In een ander draadje, naar aanleiding van de uitleg van @Kevin_McKernan, die mijn arme neurologenbreintje vervaarli… https://t.co/OpeqY0iXhn"
1336425088737013761,2020-12-08 21:39:05,"Een korte uitleg over de RT-PCR op het SARS-CoV-2 virus. 

De Drosten-paper gaat uit van drie genen die door de PCR… https://t.co/cFmxwzj9Mw"
1336424162286575616,2020-12-08 21:35:24,"In ieder geval is duidelijk dat de lijntjes kort zijn, en de ene ons de andere ons erg goed kent. 

Nu terug naar d… https://t.co/uJRDx0eGZf"
1336423425699688458,2020-12-08 21:32:28,"Met als gevolg dat de waarde van het bedrijf van Olfert Landt, al vele jaren volgens Drosten niet meer dan een 'goe… https://t.co/DX2hjMRjSd"
1336422240527769608,2020-12-08 21:27:46,"Waarom is Tib-Molbiol zo belangrijk met Olfert Landt en Victor Kaiser?

Zij mochten de productie en distributie van… https://t.co/9YceeahXmR"
1336421596752465927,2020-12-08 21:25:12,Het duurde maar liefst zes maanden voordat Eurosurveillance deze 'conflicts of interest' in een editorial vermeldde… https://t.co/nR5oUjWJxq
1336421237799739399,2020-12-08 21:23:47,"Dit is de website van Tol-Molbiol, een bedrijfje dat diverse materialen en ook complete PCR-kits levert. 

De direc… https://t.co/HLienrTjy7"
1336419353571561479,2020-12-08 21:16:18,Ten tweede omdat ze in de editorial board zit van Eurosurveillance èn mede-auteur van de Drosten-paper was. En op d… https://t.co/d1ecqsRADQ
1336418628925857793,2020-12-08 21:13:25,Ten eerste omdat ze evenals Marion Koopmans haar basis in het Erasmus heeft en eveneens acteert bij Viroscience. https://t.co/PdYmtyqq1T
1336416995407929346,2020-12-08 21:06:55,Verder werkte ene Chantal Reuskens van het RIVM aan het artikel mee en natuurlijk staat Marion Koopmans prominent v… https://t.co/1KPkajJeHB
1336416198330904579,2020-12-08 21:03:45,Het is de zoveelste nagel aan de doodskist van het artikel dat inmiddels bekend staat onder de naam 'the Drosten Pa… https://t.co/B93rONeIwM
1336415205518086145,2020-12-08 20:59:49,"De voorbereiding voor de poli van donderdag en vrijdag is klaar. 

Nog een stuk of vier artikelen die ik wil lezen… https://t.co/hOjTmgwUj7"
1336392890109599747,2020-12-08 19:31:08,"En het is voor iedere afgestudeerde arts basiskennis, of zou dat gewoon moeten zijn. In weerwil tot wat 'Vollidiote… https://t.co/N6AxvTJ2Lf"
1336392486802092038,2020-12-08 19:29:32,"Zoals ik zelf al meerdere keren beschreven heb in mijn eigen blogs:

https://t.co/7Hy7w2jK9X"
1336391862844796931,2020-12-08 19:27:03,"Een interessant artikel: https://t.co/MFoc8cPwsV 

Het heeft even geduurd, maar het is nu dan toch ook tot de mains… https://t.co/Yolb7tHZqj"
1336390669208870912,2020-12-08 19:22:19,@KampWendy Ik kijk ook niet meer. Als kind vond ik Peppie en Kokkie leuk. Maar dat is al heel lang geleden. Nu ik w… https://t.co/7Gbd7TrOtx
1336388729137717251,2020-12-08 19:14:36,"""Meer positieve testuitslagen"".

De 'experts' van het RIVM rollen al weer over elkaar heen op de beeldbuis achter m… https://t.co/hyGcvd1Hja"
1336384013381021698,2020-12-08 18:55:52,@limburg9 Alles keurig bewaard.
1336383774473457665,2020-12-08 18:54:55,"Die hand daar, rechts, met het glas wijn...

Is die toevallig van Marion Koopmans?

#coronamaatregelen… https://t.co/WUL51Tnz0S"
1336381077104025602,2020-12-08 18:44:12,@Picobello_bv Geen vaccin in mijn lijf.
1336380977589985281,2020-12-08 18:43:48,RT @hommel_b: De eerste melding is in ieder geval de deur al uit. Volgende week volgt de formele aangifte. https://t.co/gzLzljjkCd
1336380279074775041,2020-12-08 18:41:01,https://t.co/BIkycntjfc
1336379831613788160,2020-12-08 18:39:15,https://t.co/Nznyklv8T2
1336379364833955844,2020-12-08 18:37:23,https://t.co/8DOzXyzyaW
1336379164228792326,2020-12-08 18:36:36,https://t.co/6D4mKFJhva
1336378723512233984,2020-12-08 18:34:51,https://t.co/Hgxq9215KW
1336378433035767811,2020-12-08 18:33:41,https://t.co/pK9XeT7iFG
1336377983913881604,2020-12-08 18:31:54,https://t.co/wf5CyegmzZ
1336377257183547399,2020-12-08 18:29:01,https://t.co/SAcUew1Pgm
1336376893843582976,2020-12-08 18:27:34,https://t.co/7MQ2Uhuzmy
1336376480218157059,2020-12-08 18:25:56,https://t.co/olsfjc85oz
1336375861642227716,2020-12-08 18:23:28,"En wij, westerse hersenloze en willoze sukkels, kopieerden zonder ook maar een moment na te denken de 'lockdowns' e… https://t.co/sJkOvU8M25"
1336375341678473219,2020-12-08 18:21:24,"https://t.co/eWdElvDGQR

Ik ben geen complotdenker, maar mijn oude vader zag het al goed: ""Het gele gevaar uit het… https://t.co/3OQS9r1BDb"
1336372594543616005,2020-12-08 18:10:29,"Der infizierte Rechtsstaat | Rubikon - Magazin für die kritische Masse https://t.co/zVFZGJCsN0 

Ook de Duitse just… https://t.co/aBNcQQrWX6"
1336370216692047874,2020-12-08 18:01:02,"RT @goddeketal: Ich bin selber Editor eines renommierten Journals und kann Euch nur sagen, dass es unmöglich ist eine Publikation innerhalb…"
