,screen_name,followers,friends,description,tweets
1532,Litcheute8lfc,589,1231,Lfc_Forever 😍 @lfc ⭐️⭐️⭐️⭐️⭐️⭐️ champion d’Angleterre 19🏆🏅,169873
1533,ThabisoM80,276,404,@Masandawana fan,1426
1534,yourmom009,499,1486,"I enjoy large cups of MAGA tears.

BIDEN/HARRIS 2020!",15755
1535,jolijndeluca,4316,294,Doet iets juridisch. Leest graag en schrijft soms 📖 Is bijna altijd in voor een praatje. Drinkt veel ijskoffie ☕️ Getrouwd. Herfstfanaat 🧡,78001
1536,fnaticfnbr,33,124,"Founder of Viper Esports
Owner Of @fearatopic
FA Manager For @NAMUREsports
Personal Manager @Teegy18  DM for inquiries",56
1537,deniedamaniac,12778,11493,"Ying yang☯ the balance|Madridsta|Ronaldo stan|Never hesitate to say it to your face i'm an asshole🙂| i dont ass kiss, i am a boobs guy😐...An unofficial shrink",51188
1538,TotalAnalysis,22937,390,"Content for the 'thinking football fan' who wants more than just a match report // daily content // digital magazine // consultants to clubs, players and agents",20027
1539,AjaxFanatics,20174,139,Het laatste nieuws over de mooiste club ter wereld!,46883
1540,ThabisoM80,276,404,@Masandawana fan,1426
1541,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
1542,zorna6,844,4477,,56186
1543,bart_sluis,388,239,Mensen mens| kritisch| commercieel |belegger |schrijver| trader ||vrijwilliger| pap|,29078
1544,borbasccp,155,268,consistência na imprevisibilidade e vai corinthians,2485
1545,ken_10l,26,293,Product designer,613
1546,IAM__Network,18023,15543,"IAM Platform powers IAM Network, the world's largest network of information professionals.

GO: https://t.co/wZabw3lJog

#News #DigitalMedia #InformationTechnology",964294
1547,KurtzieBigdog,420,125,19 I founder @teamajaxgg casual fortnite competitive bodybuilding🇺🇸 X 🇮🇳 subscribe -https://t.co/OeHfrCPUvr,586
1548,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
1549,ajaxnieuws247,171,419,,47310
1550,Soccernews_nl,18778,8087,Dagelijks het laatste voetbalnieuws uit binnen- en buitenland.,298398
1551,artofwebhacking,472,0,"Hello! I'm a websec bot operated by https://t.co/89U52ptbmS  I share random web hacking challenges, burp plugins, tips collected",585
1552,Passperformance,1151,2021,The World's First coaching and player focused training app for #Football and #Hockey  – control and analyse every aspect of your team's performance.,14091
1553,renmoonriver,706,852,i strongly believe that nakahara chuuya,6106
1554,Eminbostannn,556,464,İKÇÜ-ADS,1279
1555,KurtzieBigdog,420,125,19 I founder @teamajaxgg casual fortnite competitive bodybuilding🇺🇸 X 🇮🇳 subscribe -https://t.co/OeHfrCPUvr,586
1556,WPNULLORG1,114,0,WordPress Premium Plugins & Themes,21406
1557,CllrRTylerMorin,1268,299,Town of Ajax Ward 1 Councillor • Regional Councillor Alternate • Founder/Partner at TwoForTheShow • Husband • Father,7662
1558,dibya001,87,239,Software Engineer at Qualcomm,4711
1559,TaquiBox,10723,1266,"💰Cuenta dedicada a informar sobre la taquilla de cine💰

Analizo en la web @35milimetros_es y en @CineversoASN",81461
1560,ytmqahmed,129,203,97 | Head Manager of @EspRule | @ManagerCord | YTMQAHMED on all Socials! | Personal Manager for @Yxi151 @Zxmbiefn | Owner and Founder of @DramaAlertME_,2343
1561,CllrRTylerMorin,1268,299,Town of Ajax Ward 1 Councillor • Regional Councillor Alternate • Founder/Partner at TwoForTheShow • Husband • Father,7662
1562,AlexRVT9,163,174,"Intento de Youtuber y Streamer,
esta cuenta era de AlexBall, ahora es de un desgraciao
#BalonesAl32",1990
1563,AlexRVT9,163,174,"Intento de Youtuber y Streamer,
esta cuenta era de AlexBall, ahora es de un desgraciao
#BalonesAl32",1990
1564,CllrRTylerMorin,1268,299,Town of Ajax Ward 1 Councillor • Regional Councillor Alternate • Founder/Partner at TwoForTheShow • Husband • Father,7662
1565,Alejand86736760,3,66,Happy,6
1566,ajax_lee,252,571,Territoire privé,9387
1567,sulleymike,168,0,Chelsea. Heat. 49ers. Fantasy Sports Enthusiast,928
1568,TaquiBox,10723,1266,"💰Cuenta dedicada a informar sobre la taquilla de cine💰

Analizo en la web @35milimetros_es y en @CineversoASN",81461
1569,easyodds,11932,3022,https://t.co/lMJ6ZSvPhO is an award-winning odds comparison site. Read our betting tips and previews. Gamble responsibly 18+ (https://t.co/0WiNwt5hky) 📸 Instagram - easyodds,61817
1570,Ajax_______,3,71,made you look,1465
1571,Madridistas_ds,15,208,,38
1572,CharlieMaster02,450,1577,"Soldado de Luka Jović
Enamorado de @sergio_regui",16175
1573,jovamix1581,1106,1941,Me gusta la paz y el fútbol y amo la hipica,46076
1574,yaboybdav,638,937,,64774
1575,J251bone,114,718,,1270
1576,Clearasil_joy,397,708,ジャニーズ関連、イケメンさんたちの雑誌CDなどメディア予約情報をできるだけ早く発信しています😊たまに気になったこともツイート🐥無言フォロー大歓迎です🎵V6からの事務所オタ🏢みんな違ってみんな良い🌈売り切れ前にみんなが予約できますように✨転売屋撲滅👊 yumikiti1234 と併用しています,3270
1577,CharlieMaster02,450,1577,"Soldado de Luka Jović
Enamorado de @sergio_regui",16175
1578,MSE_RM,4261,4867,"En el barco de Vini, Karim y Fede Valverde",17479
1579,GHardRock82,108,398,,2262
1580,Ketchunez_qwq,71,237,"#SUCROSE; ретвичу _много_ артов будьте готовы | ещё и сама иногда рисую | infp | 15yo, gemini | парная с @_Byloshka_qwq_ | #tigernation",4502
1581,GHardRock82,108,398,,2262
1582,GraphicDesignNZ,98,30,"A Design of New Zealand é um Estúdio de Design Gráfico e Arte Digital. Nosso foco: Design Tipográfico, Arte Digital, Ilustração Esportiva, Identidade Visual.",160
1583,ClubZWhitby,246,760,Student success starts at ClubZ! In-Home Tutoring Services. Test Prep & Tutoring leader for more than 20 years. From Pre-K to Pre-Med and Everything In Between.,2367
1584,TheCampeao,783,900,"🇧🇷 Brazilian football 🇧🇷

Covering Brazilian club football:
Brasileirão (Brazilian League),
Copa do Brasil (Brazilian Cup),
State leagues,
Libertadores",3324
1585,ad_chambo,168,596,You’ll Never Walk Alone ♥️ @LFC @Warriors @Nike,63187
1586,MSE_RM,4261,4867,"En el barco de Vini, Karim y Fede Valverde",17479
1587,OgundaisiSeyi2,173,259,happiness is free,2747
1588,chipchilinkalol,2512,407,"#KENMA: в соседнем номере бог, я с ним пока не знаком, но знаю, что это он // ау по хк https://t.co/SUSzFa6EzZ",44707
1589,troostjohn,1210,271,topsportcoaching@gmail.com,7832
1590,jjeyemmm,744,407,RBb CFC 17 💚 TRUFO,85061
1591,kriekmedia,1459,2061,"Freelance mediajournalist - medianieuws oa Totaal TV - nieuws over televisie, radio, internet, online en OTT - watcher Ziggo, KPN, M7 Groep, EQT en T-Mobile",42222
1592,barttajax,824,268,Onvoorwaardelijke liefde voor Ajax Amsterdam ♥️,25001
1593,949TheRock,4785,1040,"94.9 The Rock, GTA's Rock Station",20287
1594,RonaldJHElzenga,3273,4228,"-Polemologist on a mission!-EUropean🇪🇺of Dutch nationality🇳🇱{Peace, security, freedom, but also prosperity and well-being are not self-evident nor fo free!}",478577
1595,jjeyemmm,744,407,RBb CFC 17 💚 TRUFO,85061
1596,PVasiljevic,2255,2439,"Industrial Designer, Hobbyist, Modeler, Photographer, ex-videogamer, warmonger. Subtle as a baseball bat. 
The Rice Herald.

Owner at @NFTGutter",167077
1597,troostjohn,1210,271,topsportcoaching@gmail.com,7832
1598,CKDOradio,2178,282,CKDO 107.7 FM & 1580 AM  Durham's Christmas Station!,7239
1599,PatrickG1976,556,390,"Loves auto- and motorracing, drives a '89 911, loves King (my dog)",26415
1600,adzLoL_,166,3578,🇮🇩/🇨🇳 professional weeb,16786
1601,KX96,13602,663,KX Country - Canada's #1 Country!,9216
1602,ajitosu,122,51,"Materials Consultant, Food Connoisseur, Traveler, Investor",577
1603,Cristianspfc_,1090,4622,"Um apaixonado por esportes e design gráfico.
@saopaulofc | @steelers | @lakers | @mancity",17192
1604,BrunoLobera,7,53,,219
1605,FUTMentor,7274,396,Latest FIFA 21 News and trading!,6393
1606,Hometutoring1,14,179,Tutoring Services,912
1607,Keith_Ziegler67,503,259,United States Navy sailor on U.S.S. John F. Kennedy  (CV-67) (1995-1999) History lover. Half of knowing where we're going is knowing where we've been.,68075
1608,TotaalTV,1193,0,De 2-wekelijkse tv-gids met de meeste zenders,15325
1609,Ajax_______,3,71,made you look,1465
1610,LFCSCN,9584,389,Twitterkonto for den offisielle Supporterklubben til Liverpool FC i Norge. #lfcscn,44287
1611,Juan31306051,4,67,la vida es dura pero más duro es tener a  Carmona en tu equipo.,110
1612,Ajax_pop,3888,1558,【𝓩𝓭𝓮𝓷∬】所属 活動時間 21時〜24時￤チーム実績35🥇交流戦25🥇そろそろ主催再開予定￤【代表】@K1nsan12345￤#Nolan主催実績￤マンティス、祝祭推し￤推し👉@MaximusHotoke👺￤@_chancg,5867
1613,Juan31306051,4,67,la vida es dura pero más duro es tener a  Carmona en tu equipo.,110
1614,AJAX_INDIAN,201,542,"Truely Indian, Alive as Heart still feeling, Brain still reasoning..
I think we Indians must first check these two things before we say I am still Alive.",1959
1615,WimSpijkers,2316,768,"Content producer, bladenmaker, redacteur @ SpijkersMedia / Editor, writer & creative director @ SpijkersMedia",54706
1616,blokiratii,23,22,201020. Karma chameleon,4603
1617,SeanCF25,55,220,"Del @Realmadrid, @SaprissaOficial y el @BlackYellow como toda persona de bien",1782
1618,cryptomoon__,111,206,$zil $vet $coti $ada 🚀,2118
1619,Ajax_______,3,71,made you look,1465
1620,SeanCF25,55,220,"Del @Realmadrid, @SaprissaOficial y el @BlackYellow como toda persona de bien",1782
1621,RobertoAtzori,685,1608,"Cagliari, Sardinia, Italy",37998
1622,INDRAGOSWRLD,735,847,@chelseafc 💙,5565
1623,Xigbat,18,217,,9827
1624,Unipota1,0,15,Zonki,336
1625,Ajax_pop,3888,1558,【𝓩𝓭𝓮𝓷∬】所属 活動時間 21時〜24時￤チーム実績35🥇交流戦25🥇そろそろ主催再開予定￤【代表】@K1nsan12345￤#Nolan主催実績￤マンティス、祝祭推し￤推し👉@MaximusHotoke👺￤@_chancg,5867
1626,ComradeJacob1,0,50,Paleoconservative - 369 IQ - MAGA MODE,89
